Date,Country,Confirmed ,Death ,Recovered
7/14/2020,Nigeria,33616,754,13792
7/15/2020,Nigeria,34259,760,13999
7/16/2020,Nigeria,34854,769,14292
7/17/2020,Nigeria,35454,772,14633
7/18/2020,Nigeria,36107,778,14938
7/19/2020,Nigeria,36663,789,15105
7/20/2020,Nigeria,37225,801,15333
7/21/2020,Nigeria,37801,805,15677
7/22/2020,Nigeria,38344,813,15815
7/23/2020,Nigeria,38948,833,16061
7/24/2020,Nigeria,39539,845,16559
7/25/2020,Nigeria,39977,856,16948
7/26/2020,Nigeria,40532,858,17374
7/27/2020,Nigeria,41180,860,18203
7/28/2020,Nigeria,41804,868,18764
7/29/2020,Nigeria,42208,873,19004
7/30/2020,Nigeria,42689,878,19270
7/31/2020,Nigeria,43151,879,19565
8/1/2020,Nigeria,43537,883,20087
8/2/2020,Nigeria,43841,888,20308
8/3/2020,Nigeria,44129,896,20663
8/4/2020,Nigeria,44433,910,31851
8/5/2020,Nigeria,44890,927,32165
8/6/2020,Nigeria,45244,930,32430
8/7/2020,Nigeria,45687,936,32637
8/8/2020,Nigeria,46140,942,33044
8/9/2020,Nigeria,46577,945,33186
8/10/2020,Nigeria,46867,950,33346
8/11/2020,Nigeria,47290,956,33609
8/12/2020,Nigeria,47743,956,33943
8/13/2020,Nigeria,48116,966,34309
8/14/2020,Nigeria,48445,973,35998
8/15/2020,Nigeria,48770,974,36290
8/16/2020,Nigeria,49068,975,36497
8/17/2020,Nigeria,49485,977,36834
8/18/2020,Nigeria,49895,981,37051
8/19/2020,Nigeria,50488,985,37304
8/20/2020,Nigeria,50964,992,37569
8/21/2020,Nigeria,51304,996,37885
8/22/2020,Nigeria,51905,997,38767
8/23/2020,Nigeria,52227,1002,38945
8/24/2020,Nigeria,52548,1004,39257
8/25/2020,Nigeria,52800,1007,39964
8/26/2020,Nigeria,53021,1010,40281
8/27/2020,Nigeria,53317,1011,40726
8/28/2020,Nigeria,53477,1011,41017
8/29/2020,Nigeria,53727,1011,41314
8/30/2020,Nigeria,53865,1013,41513
8/31/2020,Nigeria,54008,1013,41638
2/14/2020,Egypt,1,0,0
2/15/2020,Egypt,1,0,0
2/16/2020,Egypt,1,0,0
2/17/2020,Egypt,1,0,0
2/18/2020,Egypt,1,0,0
2/19/2020,Egypt,1,0,0
2/20/2020,Egypt,1,0,0
2/21/2020,Egypt,1,0,0
2/22/2020,Egypt,1,0,0
2/23/2020,Egypt,1,0,0
2/24/2020,Egypt,1,0,0
2/25/2020,Egypt,1,0,0
2/26/2020,Egypt,1,0,0
2/27/2020,Egypt,1,0,0
2/28/2020,Egypt,1,0,1
2/29/2020,Egypt,1,0,1
3/1/2020,Egypt,2,0,1
3/2/2020,Egypt,2,0,1
3/3/2020,Egypt,2,0,1
3/4/2020,Egypt,2,0,1
3/5/2020,Egypt,3,0,1
3/6/2020,Egypt,15,0,1
3/7/2020,Egypt,15,0,1
3/8/2020,Egypt,49,1,1
3/9/2020,Egypt,55,1,1
3/10/2020,Egypt,59,1,1
3/11/2020,Egypt,60,1,27
3/12/2020,Egypt,67,1,27
3/13/2020,Egypt,80,2,27
3/14/2020,Egypt,109,2,27
3/15/2020,Egypt,110,2,21
3/16/2020,Egypt,150,2,27
3/17/2020,Egypt,196,4,32
3/18/2020,Egypt,196,6,32
3/19/2020,Egypt,256,6,32
3/20/2020,Egypt,285,8,39
3/21/2020,Egypt,294,10,41
3/22/2020,Egypt,327,14,56
3/23/2020,Egypt,366,19,56
3/24/2020,Egypt,402,20,80
3/25/2020,Egypt,456,21,95
3/26/2020,Egypt,495,24,102
3/27/2020,Egypt,536,30,116
3/28/2020,Egypt,576,36,121
3/29/2020,Egypt,609,40,132
3/30/2020,Egypt,656,41,150
3/31/2020,Egypt,710,46,157
4/1/2020,Egypt,779,52,179
4/2/2020,Egypt,865,58,201
4/3/2020,Egypt,985,66,216
4/4/2020,Egypt,1070,71,241
4/5/2020,Egypt,1173,78,247
4/6/2020,Egypt,1322,85,259
4/7/2020,Egypt,1450,94,276
4/8/2020,Egypt,1560,103,305
4/9/2020,Egypt,1699,118,348
4/10/2020,Egypt,1794,135,384
4/11/2020,Egypt,1939,146,426
4/12/2020,Egypt,2065,159,589
4/13/2020,Egypt,2190,164,589
4/14/2020,Egypt,2350,178,589
4/15/2020,Egypt,2505,183,589
4/16/2020,Egypt,2673,196,596
4/17/2020,Egypt,2844,205,646
4/18/2020,Egypt,3032,224,701
4/19/2020,Egypt,3144,239,732
4/20/2020,Egypt,3333,250,821
4/21/2020,Egypt,3490,264,870
4/22/2020,Egypt,3659,276,935
4/23/2020,Egypt,3891,287,1004
4/24/2020,Egypt,4092,294,1075
4/25/2020,Egypt,4319,307,1114
4/26/2020,Egypt,4534,317,1176
4/27/2020,Egypt,4782,337,1236
4/28/2020,Egypt,5042,359,1304
4/29/2020,Egypt,5268,380,1335
4/30/2020,Egypt,5537,392,1381
5/1/2020,Egypt,5895,406,1460
5/2/2020,Egypt,6193,415,1522
5/3/2020,Egypt,6465,429,1562
5/4/2020,Egypt,6813,436,1632
5/5/2020,Egypt,7201,452,1730
5/6/2020,Egypt,7588,469,1815
5/7/2020,Egypt,7981,482,1887
5/8/2020,Egypt,8476,503,1945
5/9/2020,Egypt,8964,514,2002
5/10/2020,Egypt,9400,525,2075
5/11/2020,Egypt,9746,533,2172
5/12/2020,Egypt,10093,544,2326
5/13/2020,Egypt,10431,556,2486
5/14/2020,Egypt,10829,571,2626
5/15/2020,Egypt,11228,592,2799
5/16/2020,Egypt,11719,612,2950
5/17/2020,Egypt,12229,630,3172
5/18/2020,Egypt,12764,645,3440
5/19/2020,Egypt,13484,659,3742
5/20/2020,Egypt,14229,680,3994
5/21/2020,Egypt,15003,696,4217
5/22/2020,Egypt,15786,707,4374
5/23/2020,Egypt,16513,735,4628
5/24/2020,Egypt,17265,764,4807
5/25/2020,Egypt,17967,783,4900
5/26/2020,Egypt,18756,797,5027
5/27/2020,Egypt,19666,816,5205
5/28/2020,Egypt,20793,845,5359
5/29/2020,Egypt,22082,879,5511
5/30/2020,Egypt,23449,913,5693
5/31/2020,Egypt,24985,959,6037
6/1/2020,Egypt,26384,1005,6447
6/2/2020,Egypt,27536,1052,6827
6/3/2020,Egypt,28615,1088,7350
6/4/2020,Egypt,29767,1126,7756
6/5/2020,Egypt,31115,1166,8158
6/6/2020,Egypt,32612,1198,8538
6/7/2020,Egypt,34079,1237,8961
6/8/2020,Egypt,35444,1271,9375
6/9/2020,Egypt,36829,1306,9786
6/10/2020,Egypt,38284,1342,10289
6/11/2020,Egypt,39726,1377,10691
6/12/2020,Egypt,41303,1422,11108
6/13/2020,Egypt,42980,1484,11529
6/14/2020,Egypt,44598,1575,11931
6/15/2020,Egypt,46289,1672,12329
6/16/2020,Egypt,47856,1766,12730
6/17/2020,Egypt,49219,1850,13141
6/18/2020,Egypt,50437,1938,13528
6/19/2020,Egypt,52211,2017,13928
6/20/2020,Egypt,53758,2106,14327
6/21/2020,Egypt,55233,2193,14736
6/22/2020,Egypt,56809,2278,15133
6/23/2020,Egypt,58141,2365,15535
6/24/2020,Egypt,59561,2450,15935
6/25/2020,Egypt,61130,2533,16338
6/26/2020,Egypt,62755,2620,16737
6/27/2020,Egypt,63923,2708,17140
6/28/2020,Egypt,65188,2789,17539
6/29/2020,Egypt,66754,2872,17951
6/30/2020,Egypt,68311,2953,18460
7/1/2020,Egypt,69814,3034,18881
7/2/2020,Egypt,71299,3120,19288
7/3/2020,Egypt,72711,3201,19690
7/4/2020,Egypt,74035,3280,20103
7/5/2020,Egypt,75253,3343,20726
7/6/2020,Egypt,76222,3422,21238
7/7/2020,Egypt,77279,3489,21718
7/8/2020,Egypt,78304,3564,22241
7/9/2020,Egypt,79254,3617,22753
7/10/2020,Egypt,80235,3702,23274
7/11/2020,Egypt,81158,3769,23876
7/12/2020,Egypt,82070,3858,24419
7/13/2020,Egypt,83001,3935,24975
7/14/2020,Egypt,83930,4008,25544
7/15/2020,Egypt,84843,4067,26135
7/16/2020,Egypt,85771,4120,26691
7/17/2020,Egypt,86474,4188,27302
7/18/2020,Egypt,87172,4251,27868
7/19/2020,Egypt,87775,4302,28380
7/20/2020,Egypt,88402,4352,28924
7/21/2020,Egypt,89078,4399,29473
7/22/2020,Egypt,89745,4440,30075
7/23/2020,Egypt,90413,4480,31066
7/24/2020,Egypt,91072,4518,31970
7/25/2020,Egypt,91583,4558,32903
7/26/2020,Egypt,92062,4606,33831
7/27/2020,Egypt,92482,4652,34838
7/28/2020,Egypt,92947,4691,35959
7/29/2020,Egypt,93356,4728,37025
7/30/2020,Egypt,93757,4774,38236
7/31/2020,Egypt,94078,4805,39638
8/1/2020,Egypt,94316,4834,41137
8/2/2020,Egypt,94483,4865,42455
8/3/2020,Egypt,94640,4888,44066
8/4/2020,Egypt,94752,4912,45569
8/5/2020,Egypt,94875,4930,47182
8/6/2020,Egypt,95006,4951,48898
8/7/2020,Egypt,95147,4971,50553
8/8/2020,Egypt,95314,4992,51672
8/9/2020,Egypt,95492,5009,52678
8/10/2020,Egypt,95666,5035,53779
8/11/2020,Egypt,95834,5059,54888
8/12/2020,Egypt,95963,5085,55901
8/13/2020,Egypt,96108,5107,56890
8/14/2020,Egypt,96220,5124,57858
8/15/2020,Egypt,96336,5141,58835
8/16/2020,Egypt,96475,5160,59743
8/17/2020,Egypt,96590,5173,60651
8/18/2020,Egypt,96753,5184,61562
8/19/2020,Egypt,96914,5197,62553
8/20/2020,Egypt,97025,5212,63462
8/21/2020,Egypt,97148,5231,64318
8/22/2020,Egypt,97237,5243,65118
8/23/2020,Egypt,97340,5262,65927
8/24/2020,Egypt,97478,5280,66817
8/25/2020,Egypt,97619,5298,67717
8/26/2020,Egypt,97825,5317,68713
8/27/2020,Egypt,98062,5342,69612
8/28/2020,Egypt,98285,5362,70419
8/29/2020,Egypt,98497,5376,71302
8/30/2020,Egypt,98727,5399,72120
8/31/2020,Egypt,98939,5421,72929
2/14/2020,Gabon,0,0,0
2/15/2020,Gabon,0,0,0
2/16/2020,Gabon,0,0,0
2/17/2020,Gabon,0,0,0
2/18/2020,Gabon,0,0,0
2/19/2020,Gabon,0,0,0
2/20/2020,Gabon,0,0,0
2/21/2020,Gabon,0,0,0
2/22/2020,Gabon,0,0,0
2/23/2020,Gabon,0,0,0
2/24/2020,Gabon,0,0,0
2/25/2020,Gabon,0,0,0
2/26/2020,Gabon,0,0,0
2/27/2020,Gabon,0,0,0
2/28/2020,Gabon,0,0,0
2/29/2020,Gabon,0,0,0
3/1/2020,Gabon,0,0,0
3/2/2020,Gabon,0,0,0
3/3/2020,Gabon,0,0,0
3/4/2020,Gabon,0,0,0
3/5/2020,Gabon,0,0,0
3/6/2020,Gabon,0,0,0
3/7/2020,Gabon,0,0,0
3/8/2020,Gabon,0,0,0
3/9/2020,Gabon,0,0,0
3/10/2020,Gabon,0,0,0
3/11/2020,Gabon,0,0,0
3/12/2020,Gabon,0,0,0
3/13/2020,Gabon,0,0,0
3/14/2020,Gabon,1,0,0
3/15/2020,Gabon,1,0,0
3/16/2020,Gabon,1,0,0
3/17/2020,Gabon,1,0,0
3/18/2020,Gabon,1,0,0
3/19/2020,Gabon,1,0,0
3/20/2020,Gabon,3,1,0
3/21/2020,Gabon,4,1,0
3/22/2020,Gabon,5,1,0
3/23/2020,Gabon,5,1,0
3/24/2020,Gabon,6,1,0
3/25/2020,Gabon,6,1,0
3/26/2020,Gabon,7,1,0
3/27/2020,Gabon,7,1,0
3/28/2020,Gabon,7,1,0
3/29/2020,Gabon,7,1,0
3/30/2020,Gabon,7,1,0
3/31/2020,Gabon,16,1,0
4/1/2020,Gabon,18,1,0
4/2/2020,Gabon,21,1,0
4/3/2020,Gabon,21,1,1
4/4/2020,Gabon,21,1,1
4/5/2020,Gabon,21,1,1
4/6/2020,Gabon,24,1,1
4/7/2020,Gabon,30,1,1
4/8/2020,Gabon,34,1,1
4/9/2020,Gabon,44,1,1
4/10/2020,Gabon,44,1,1
4/11/2020,Gabon,46,1,1
4/12/2020,Gabon,49,1,1
4/13/2020,Gabon,57,1,1
4/14/2020,Gabon,57,1,1
4/15/2020,Gabon,80,1,4
4/16/2020,Gabon,80,1,4
4/17/2020,Gabon,108,1,7
4/18/2020,Gabon,108,1,7
4/19/2020,Gabon,109,1,7
4/20/2020,Gabon,120,1,7
4/21/2020,Gabon,156,1,16
4/22/2020,Gabon,166,1,24
4/23/2020,Gabon,167,2,24
4/24/2020,Gabon,172,3,26
4/25/2020,Gabon,176,3,30
4/26/2020,Gabon,176,3,30
4/27/2020,Gabon,211,3,43
4/28/2020,Gabon,238,3,53
4/29/2020,Gabon,276,3,67
4/30/2020,Gabon,276,3,67
5/1/2020,Gabon,276,3,67
5/2/2020,Gabon,335,5,85
5/3/2020,Gabon,335,5,85
5/4/2020,Gabon,367,6,93
5/5/2020,Gabon,397,6,93
5/6/2020,Gabon,397,6,93
5/7/2020,Gabon,504,8,110
5/8/2020,Gabon,620,8,110
5/9/2020,Gabon,661,8,110
5/10/2020,Gabon,661,8,110
5/11/2020,Gabon,802,9,127
5/12/2020,Gabon,863,9,137
5/13/2020,Gabon,1004,9,152
5/14/2020,Gabon,1104,10,182
5/15/2020,Gabon,1209,10,219
5/16/2020,Gabon,1320,11,244
5/17/2020,Gabon,1320,11,244
5/18/2020,Gabon,1432,11,301
5/19/2020,Gabon,1502,12,318
5/20/2020,Gabon,1567,12,365
5/21/2020,Gabon,1567,12,365
5/22/2020,Gabon,1728,12,402
5/23/2020,Gabon,1934,12,459
5/24/2020,Gabon,1934,12,459
5/25/2020,Gabon,2135,14,562
5/26/2020,Gabon,2238,14,593
5/27/2020,Gabon,2319,14,631
5/28/2020,Gabon,2431,14,668
5/29/2020,Gabon,2613,15,709
5/30/2020,Gabon,2655,17,722
5/31/2020,Gabon,2655,17,722
6/1/2020,Gabon,2655,17,722
6/2/2020,Gabon,2803,20,779
6/3/2020,Gabon,2902,20,801
6/4/2020,Gabon,2955,21,818
6/5/2020,Gabon,3101,21,833
6/6/2020,Gabon,3101,21,833
6/7/2020,Gabon,3101,21,833
6/8/2020,Gabon,3101,21,833
6/9/2020,Gabon,3247,21,938
6/10/2020,Gabon,3375,22,978
6/11/2020,Gabon,3463,23,1024
6/12/2020,Gabon,3463,23,1024
6/13/2020,Gabon,3463,23,1024
6/14/2020,Gabon,3463,23,1024
6/15/2020,Gabon,4033,27,1334
6/16/2020,Gabon,4114,29,1432
6/17/2020,Gabon,4229,30,1505
6/18/2020,Gabon,4340,32,1657
6/19/2020,Gabon,4428,34,1750
6/20/2020,Gabon,4428,34,1750
6/21/2020,Gabon,4428,34,1750
6/22/2020,Gabon,4739,39,2002
6/23/2020,Gabon,4849,39,2107
6/24/2020,Gabon,4956,39,2177
6/25/2020,Gabon,5087,40,2270
6/26/2020,Gabon,5209,40,2327
6/27/2020,Gabon,5209,40,2327
6/28/2020,Gabon,5209,40,2327
6/29/2020,Gabon,5394,42,2420
6/30/2020,Gabon,5394,42,2420
7/1/2020,Gabon,5513,42,2508
7/2/2020,Gabon,5513,42,2508
7/3/2020,Gabon,5620,44,2555
7/4/2020,Gabon,5620,44,2555
7/5/2020,Gabon,5620,44,2555
7/6/2020,Gabon,5743,46,2574
7/7/2020,Gabon,5743,46,2574
7/8/2020,Gabon,5871,46,2682
7/9/2020,Gabon,5871,46,2682
7/10/2020,Gabon,5942,46,3004
7/11/2020,Gabon,5942,46,3004
7/12/2020,Gabon,5942,46,3004
7/13/2020,Gabon,6026,46,3475
7/14/2020,Gabon,6026,46,3475
7/15/2020,Gabon,6121,46,3664
7/16/2020,Gabon,6121,46,3664
7/17/2020,Gabon,6315,46,3865
7/18/2020,Gabon,6315,46,3865
7/19/2020,Gabon,6315,46,3865
7/20/2020,Gabon,6433,46,4034
7/21/2020,Gabon,6433,46,4034
7/22/2020,Gabon,6588,47,4235
7/23/2020,Gabon,6588,47,4235
7/24/2020,Gabon,6984,49,4463
7/25/2020,Gabon,6984,49,4463
7/26/2020,Gabon,6984,49,4463
7/27/2020,Gabon,7189,49,4682
7/28/2020,Gabon,7189,49,4682
7/29/2020,Gabon,7352,49,4943
7/30/2020,Gabon,7352,49,4943
7/31/2020,Gabon,7352,49,4943
8/1/2020,Gabon,7531,50,5223
8/2/2020,Gabon,7531,50,5223
8/3/2020,Gabon,7646,51,5408
8/4/2020,Gabon,7646,51,5408
8/5/2020,Gabon,7787,51,5609
8/6/2020,Gabon,7787,51,5609
8/7/2020,Gabon,7923,51,5704
8/8/2020,Gabon,7923,51,5704
8/9/2020,Gabon,7923,51,5704
8/10/2020,Gabon,8006,51,5823
8/11/2020,Gabon,8006,51,5823
8/12/2020,Gabon,8077,51,5920
8/13/2020,Gabon,8077,51,5920
8/14/2020,Gabon,8225,51,6277
8/15/2020,Gabon,8225,51,6277
8/16/2020,Gabon,8225,51,6277
8/17/2020,Gabon,8270,53,6404
8/18/2020,Gabon,8270,53,6404
8/19/2020,Gabon,8319,53,6614
8/20/2020,Gabon,8319,53,6614
8/21/2020,Gabon,8388,53,6734
8/22/2020,Gabon,8388,53,6734
8/23/2020,Gabon,8388,53,6734
8/24/2020,Gabon,8409,53,6959
8/25/2020,Gabon,8409,53,6959
8/26/2020,Gabon,8468,53,7066
8/27/2020,Gabon,8468,53,7066
8/28/2020,Gabon,8505,53,7187
8/29/2020,Gabon,8505,53,7187
8/30/2020,Gabon,8505,53,7187
8/31/2020,Gabon,8533,53,7264
2/14/2020,South_Africa,0,0,0
2/15/2020,South_Africa,0,0,0
2/16/2020,South_Africa,0,0,0
2/17/2020,South_Africa,0,0,0
2/18/2020,South_Africa,0,0,0
2/19/2020,South_Africa,0,0,0
2/20/2020,South_Africa,0,0,0
2/21/2020,South_Africa,0,0,0
2/22/2020,South_Africa,0,0,0
2/23/2020,South_Africa,0,0,0
2/24/2020,South_Africa,0,0,0
2/25/2020,South_Africa,0,0,0
2/26/2020,South_Africa,0,0,0
2/27/2020,South_Africa,0,0,0
2/28/2020,South_Africa,0,0,0
2/29/2020,South_Africa,0,0,0
3/1/2020,South_Africa,0,0,0
3/2/2020,South_Africa,0,0,0
3/3/2020,South_Africa,0,0,0
3/4/2020,South_Africa,0,0,0
3/5/2020,South_Africa,1,0,0
3/6/2020,South_Africa,1,0,0
3/7/2020,South_Africa,1,0,0
3/8/2020,South_Africa,3,0,0
3/9/2020,South_Africa,3,0,0
3/10/2020,South_Africa,7,0,0
3/11/2020,South_Africa,13,0,0
3/12/2020,South_Africa,17,0,0
3/13/2020,South_Africa,24,0,0
3/14/2020,South_Africa,38,0,0
3/15/2020,South_Africa,51,0,0
3/16/2020,South_Africa,62,0,0
3/17/2020,South_Africa,62,0,0
3/18/2020,South_Africa,116,0,0
3/19/2020,South_Africa,150,0,0
3/20/2020,South_Africa,202,0,0
3/21/2020,South_Africa,240,0,0
3/22/2020,South_Africa,274,0,0
3/23/2020,South_Africa,402,0,0
3/24/2020,South_Africa,554,0,4
3/25/2020,South_Africa,709,0,12
3/26/2020,South_Africa,927,0,12
3/27/2020,South_Africa,1170,1,31
3/28/2020,South_Africa,1187,1,31
3/29/2020,South_Africa,1280,2,31
3/30/2020,South_Africa,1326,3,31
3/31/2020,South_Africa,1353,5,31
4/1/2020,South_Africa,1380,5,50
4/2/2020,South_Africa,1462,5,50
4/3/2020,South_Africa,1505,9,95
4/4/2020,South_Africa,1585,9,95
4/5/2020,South_Africa,1655,11,95
4/6/2020,South_Africa,1686,12,95
4/7/2020,South_Africa,1749,13,95
4/8/2020,South_Africa,1845,18,95
4/9/2020,South_Africa,1934,18,95
4/10/2020,South_Africa,2003,24,410
4/11/2020,South_Africa,2028,25,410
4/12/2020,South_Africa,2173,25,410
4/13/2020,South_Africa,2272,27,410
4/14/2020,South_Africa,2415,27,410
4/15/2020,South_Africa,2506,34,410
4/16/2020,South_Africa,2605,48,903
4/17/2020,South_Africa,2783,50,903
4/18/2020,South_Africa,3034,52,903
4/19/2020,South_Africa,3158,54,903
4/20/2020,South_Africa,3300,58,1055
4/21/2020,South_Africa,3465,58,1055
4/22/2020,South_Africa,3635,65,1055
4/23/2020,South_Africa,3953,75,1473
4/24/2020,South_Africa,4220,79,1473
4/25/2020,South_Africa,4361,86,1473
4/26/2020,South_Africa,4546,87,1473
4/27/2020,South_Africa,4793,90,1473
4/28/2020,South_Africa,4996,93,2073
4/29/2020,South_Africa,5350,103,2073
4/30/2020,South_Africa,5647,103,2073
5/1/2020,South_Africa,5951,116,2382
5/2/2020,South_Africa,6336,123,2549
5/3/2020,South_Africa,6783,131,2549
5/4/2020,South_Africa,7220,138,2746
5/5/2020,South_Africa,7572,148,2746
5/6/2020,South_Africa,7808,153,3153
5/7/2020,South_Africa,8232,161,3153
5/8/2020,South_Africa,8895,178,3153
5/9/2020,South_Africa,9420,186,3983
5/10/2020,South_Africa,10015,194,4173
5/11/2020,South_Africa,10652,206,4357
5/12/2020,South_Africa,11350,206,4357
5/13/2020,South_Africa,12074,219,4745
5/14/2020,South_Africa,12739,238,5676
5/15/2020,South_Africa,13524,247,6083
5/16/2020,South_Africa,14355,261,6478
5/17/2020,South_Africa,15515,264,7006
5/18/2020,South_Africa,16433,286,7298
5/19/2020,South_Africa,17200,312,7960
5/20/2020,South_Africa,18003,339,8950
5/21/2020,South_Africa,19137,369,8950
5/22/2020,South_Africa,20125,397,10104
5/23/2020,South_Africa,21343,407,10104
5/24/2020,South_Africa,22583,429,11100
5/25/2020,South_Africa,23615,481,11917
5/26/2020,South_Africa,24264,524,12741
5/27/2020,South_Africa,25937,552,13451
5/28/2020,South_Africa,27403,577,14370
5/29/2020,South_Africa,29240,611,15093
5/30/2020,South_Africa,30967,643,16116
